prd_id	prd_nam
jf	金防感冒颗粒
htjcnx14	红糖姜茶女性14袋
htjcgm9	红糖姜茶感冒9袋
ffa20	复方氨酚20
ffa	复方氨酚
blqy	冰连清咽
bx	表虚感冒颗粒
bht	999薄荷糖
gmqrwtx	感清无糖10小袋
gmqr14	感冒清热颗粒14袋
gmqr	感冒清热颗粒
ppl225	枇杷露225
ppld	枇杷露(大)
ppl	枇杷露
wsc	午时茶
yyp400	咽炎片400
yyp200	咽炎片200
gt8*13*8	骨通8*13*8
gt8*13*6	骨通8*13*6
gt7*10*6	骨通7*10*6
gt7*10*10	骨通7*10*10
gtpib8*13*6	骨通（PIB）8*13*6
gtpib8*13*4	骨通（PIB）8*13*4
gtpib8*13*10	骨通（PIB）8*13*10
gtpib7*10*8	骨通（PIB）7*10*8
gtpib7*10*6	骨通（PIB）7*10*6
gtpib7*10*4	骨通（PIB）7*10*4
gtpib7*10*10	骨通（PIB）7*10*10
gj8*13*8	关节8*13*8
gj8*10*10	关节8*13*10
gj7*10*180	关节7*10*180
gp8*13*8	狗皮8*13*8
gp8*13*6	狗皮8*13*6
gp7*10*6	狗皮7*10*6
ss8*13*8	伤湿8*13*8
ss8*13*10	伤湿8*13*10
ss5*7*8	伤湿5*7*8
ss5*7*160	伤湿5*7*160
sx8*13*8	麝香8*13*8
sx7*10*6	麝香7*10*6
sx7*10*180	麝香7*10*180
sx7*10*10	麝香7*10*10
sx8*13*10	999麝香8*13*10
zf7*10*160	追风7*10*160
zf7*10*120	追风7*10*120
zf7*10*10	追风7*10*10
zfdk7*10*8	追风（打孔）7*10*8
zfdk7*10*6	追风（打孔）7*10*6
zfdk7*10*4	追风（打孔）7*10*4
zgd	壮骨120g
zgdz	壮骨(袋)
ksrg	糠酸乳膏10g
ksd	康霜20g
ks	康霜
kwd	康王20g
kw	康王
xl	选灵
wssB6	维生素B6软膏
nswerg	尿素维E乳膏
flprg	利福平乳膏
kmzrg	克霉唑乳膏
ktd	康泰20g
kp	康平
kn	康宁
hmsrg	红霉素软膏
bhw	保和丸
000000	无此产品
ymcg50	益母草膏50盒
ymc18	益母草18袋
ymc10	益母草10袋
wjd	乌鸡白凤丸(大)
wj	乌鸡白凤丸
wbjn30	尪痹胶囊30粒
pttsx12	葡萄糖酸锌12支
lwdh	六味地黄丸
ztj	正天胶囊
zt15	正天15袋
ztd	正天(大)
zt	正天
qzwt9	气滞胃痛9袋
qzwt6x	气滞胃痛6小袋
qzwt12x	气滞胃痛12小袋
qzwt12	气滞胃痛12袋
wtwd	无糖10袋
wtw	无糖
wtjd	胃胶24袋
wtj	胃胶
wtcd	胃冲10袋
wtc	胃冲
jwxs8	消食健胃片8
ywbkl9	999养卫宝颗粒9袋
wwdt10	温胃舒低糖10袋
wws6	温胃舒6袋
wws12	温胃舒12粒
wws10	温胃舒10袋
ywdt10	养胃舒低糖10袋
yws6	养胃舒6袋
yws12	养胃舒12粒
yws10	养胃舒10袋
tkz20	复方酮康唑20g
tkz	复方酮康唑
efs	恩肤霜
ynp20	999优诺平20g
ylp	必无忧乳膏
xp15	999选平15
xp	999选平
pypd	皮炎平(大)
pyp	皮炎平
qarg	皮炎平金色装20g
pyp15	皮炎平绿色装15g
pyp10	皮炎平绿色装10g
pyp5	皮炎平绿色装
bpw	补脾15袋
bp	补脾
jnbsw4	健脑补肾丸4袋
jnbsw15*4*3	健脑补肾丸15*4*3
jnbskfy9	健脑补肾口服液9支
yyp240	咽炎片240
yyp120	咽炎片120
yxy	银杏叶胶囊
yxas	养血安神
xld	选灵(大)
warg	维A酸乳膏
tt	童泰
pypx	皮炎平(小)
ptt	葡萄糖酸钙
lwdh72	六味地黄丸72
ksl	开塞露
kgpd	抗宫炎片(大)
kgp	抗宫炎片
jnbsw	健脑补肾丸
gmtr	感冒退热颗粒
gmp	感片
fyj6	风油精6
elw72	耳聋左慈丸72
axlw	阿昔洛韦
zgjn	壮骨胶囊
zbw	知柏地黄丸
yzh6	茵栀黄6支
yzh10	茵栀黄10支
yszrg	鱼石脂软膏
yp200x	咽炎片200小
ymcg	益母草膏
xz4	消痔4
xz2	消痔2
xyw	逍遥丸
xsw	香砂六君丸
xl15	999选灵
sxy12	麝香油12g
qjw	杞菊地黄丸
qfy10	驱风油10
nhsqw	牛黄上清丸
nhjn	牛黄胶囊
nhjd	牛黄解毒片
mmw	明目地黄丸
ksrgx	皮炎平蓝色装
jwxs	健胃消食片
jwd	今维多
jnbs	健脑补肾
hxzq	藿香正气水
hxndrg	哈西奈德乳膏
hjw	槐角丸
hdw	藿胆丸
gspd	归芍(大)
gsp	归芍调经片
gpw	归脾丸
elw	耳聋左慈丸
bzw	八珍益母丸
xzk	清热止咳
trt8	退热贴8贴
trt4	退热贴4袋
trt3	退热贴3袋
trt2	退热贴2袋
trt12	退热贴12贴
af20	小儿氨酚20袋
af18	小儿氨酚18袋
af	小儿氨酚
xgc24	小儿感冲24袋
xgc20	小儿感冲20袋
xgc	小儿感冲
xkc	小儿咳喘灵颗粒
xyb	小儿咽扁颗粒
zkj225	止咳糖浆225
zkj150	止咳糖浆150
zkj	止咳糖浆
blg50	板蓝根颗粒50
blg15	板蓝根颗粒15袋
blgd	板蓝根颗粒(大)
blg	板蓝根颗粒
gmj	感胶
gml	感冲
fgml15	复方感冒灵颗粒15袋
fgml	复方感冒灵颗粒
yjdt6	银菊清咽低糖6袋
yjdt10	银菊清咽低糖10袋
ysaxs	盐酸氨溴索
wgfh	外感风寒颗粒
qwjdp	清瘟解毒片
qr	清热解毒
kbdbl6	抗病毒（玻璃瓶）6支
kbdbl12	抗病毒（玻璃瓶）12支
kbdbl10	抗病毒（玻璃瓶）10支
kbdpvc10	抗病毒（PVC瓶）10支
wbjn60	尪痹胶囊60粒
extkl18	儿泻停颗粒18袋
jnc6	姜奶茶6袋
ysf24	易善复24
syyp	参元饮品
sy	参液
sc3*100	参茶3*100
sc3*50	参茶3*50
sc3*25	参茶3*25
sg	参膏
sjw168*52	参精丸168*52
sjw31.5*60	参精丸31.5*60
szf3*100*10	参枣粉3*100*10
szf3*25*36	参枣粉3*25*36
sf60	参粉
mgrt	芒果软糖
zf8*10*5	追风8*13*5
amxl30	阿莫西林30粒
tbk	头孢克肟片
tbkl	头孢克洛
ysj20	益生菌固体饮料20袋
ddlz30	大豆磷脂维E胶囊30粒
wctc	维C泡腾片甜橙味
